code,Field title
27731,Volume of G-temp-sup-G-T-transv (right hemisphere)
27510,Volume of G-temp-sup-Lateral (left hemisphere)
27732,Volume of G-temp-sup-Lateral (right hemisphere)
27511,Volume of G-temp-sup-Plan-polar (left hemisphere)
27733,Volume of G-temp-sup-Plan-polar (right hemisphere)
27512,Volume of G-temp-sup-Plan-tempo (left hemisphere)
27734,Volume of G-temp-sup-Plan-tempo (right hemisphere)
27513,Volume of G-temporal-inf (left hemisphere)
27735,Volume of G-temporal-inf (right hemisphere)
27514,Volume of G-temporal-middle (left hemisphere)
27736,Volume of G-temporal-middle (right hemisphere)
27515,Volume of Lat-Fis-ant-Horizont (left hemisphere)
27737,Volume of Lat-Fis-ant-Horizont (right hemisphere)
27516,Volume of Lat-Fis-ant-Vertical (left hemisphere)
27738,Volume of Lat-Fis-ant-Vertical (right hemisphere)
27517,Volume of Lat-Fis-post (left hemisphere)
27739,Volume of Lat-Fis-post (right hemisphere)
27518,Volume of Pole-occipital (left hemisphere)
27740,Volume of Pole-occipital (right hemisphere)
27519,Volume of Pole-temporal (left hemisphere)
27741,Volume of Pole-temporal (right hemisphere)
27520,Volume of S-calcarine (left hemisphere)
27742,Volume of S-calcarine (right hemisphere)
27521,Volume of S-central (left hemisphere)
27743,Volume of S-central (right hemisphere)
27522,Volume of S-cingul-Marginalis (left hemisphere)
27744,Volume of S-cingul-Marginalis (right hemisphere)
27523,Volume of S-circular-insula-ant (left hemisphere)
27745,Volume of S-circular-insula-ant (right hemisphere)
27524,Volume of S-circular-insula-inf (left hemisphere)
27746,Volume of S-circular-insula-inf (right hemisphere)
27525,Volume of S-circular-insula-sup (left hemisphere)
27747,Volume of S-circular-insula-sup (right hemisphere)
27526,Volume of S-collat-transv-ant (left hemisphere)
27748,Volume of S-collat-transv-ant (right hemisphere)
27527,Volume of S-collat-transv-post (left hemisphere)
27749,Volume of S-collat-transv-post (right hemisphere)
27528,Volume of S-front-inf (left hemisphere)
27750,Volume of S-front-inf (right hemisphere)
27529,Volume of S-front-middle (left hemisphere)
27751,Volume of S-front-middle (right hemisphere)
27530,Volume of S-front-sup (left hemisphere)
27752,Volume of S-front-sup (right hemisphere)
27531,Volume of S-interm-prim-Jensen (left hemisphere)
27753,Volume of S-interm-prim-Jensen (right hemisphere)
27532,Volume of S-intrapariet+P-trans (left hemisphere)
27754,Volume of S-intrapariet+P-trans (right hemisphere)
27533,Volume of S-oc-middle+Lunatus (left hemisphere)
27755,Volume of S-oc-middle+Lunatus (right hemisphere)
27534,Volume of S-oc-sup+transversal (left hemisphere)
27756,Volume of S-oc-sup+transversal (right hemisphere)
27536,Volume of S-oc-temp-lat (left hemisphere)
27758,Volume of S-oc-temp-lat (right hemisphere)
27537,Volume of S-oc-temp-med+Lingual (left hemisphere)
27759,Volume of S-oc-temp-med+Lingual (right hemisphere)
27535,Volume of S-occipital-ant (left hemisphere)
27757,Volume of S-occipital-ant (right hemisphere)
27540,Volume of S-orbital-H-Shaped (left hemisphere)
27762,Volume of S-orbital-H-Shaped (right hemisphere)
27538,Volume of S-orbital-lateral (left hemisphere)
27760,Volume of S-orbital-lateral (right hemisphere)
27539,Volume of S-orbital-med-olfact (left hemisphere)
27761,Volume of S-orbital-med-olfact (right hemisphere)
27541,Volume of S-parieto-occipital (left hemisphere)
27763,Volume of S-parieto-occipital (right hemisphere)
27542,Volume of S-pericallosal (left hemisphere)
27764,Volume of S-pericallosal (right hemisphere)
27543,Volume of S-postcentral (left hemisphere)
27765,Volume of S-postcentral (right hemisphere)
27544,Volume of S-precentral-inf-part (left hemisphere)
27766,Volume of S-precentral-inf-part (right hemisphere)
27545,Volume of S-precentral-sup-part (left hemisphere)
27767,Volume of S-precentral-sup-part (right hemisphere)
27546,Volume of S-suborbital (left hemisphere)
27768,Volume of S-suborbital (right hemisphere)
27547,Volume of S-subparietal (left hemisphere)
27769,Volume of S-subparietal (right hemisphere)
27548,Volume of S-temporal-inf (left hemisphere)
27770,Volume of S-temporal-inf (right hemisphere)
27549,Volume of S-temporal-sup (left hemisphere)
27771,Volume of S-temporal-sup (right hemisphere)
27550,Volume of S-temporal-transverse (left hemisphere)
27772,Volume of S-temporal-transverse (right hemisphere)
